Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region6Liaoning_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,174000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region6Liaoning,6718,200,Region6Liaoning_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region7Jilin_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,113000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region7Jilin,2010,200,Region7Jilin_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region8Heilongjiang_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,152000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region8Heilongjiang,2459,200,Region8Heilongjiang_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region9Shanghai_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,37000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region9Shanghai,3716,200,Region9Shanghai_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region10Jiangsu_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,297000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region10Jiangsu,45697,200,Region10Jiangsu_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region11Zhejiang_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,108000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region11Zhejiang,38936,200,Region11Zhejiang_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region12Anhui_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,222000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region12Anhui,28693,200,Region12Anhui_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region13Fujian_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,73000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region13Fujian,11818,200,Region13Fujian_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region14Jiangxi_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,70000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region14Jiangxi,11894,200,Region14Jiangxi_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region15Shandong_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,395000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region15Shandong,50206,200,Region15Shandong_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
